Total Data Percentage,Training - Testing Ratio,Naïve Bayes_Accuracy,Naïve Bayes_Precision,Naïve Bayes_Recall,Naïve Bayes_F1-Score,Decision Tree_Accuracy,Decision Tree_Precision,Decision Tree_Recall,Decision Tree_F1-Score,XGBoost_Accuracy,XGBoost_Precision,XGBoost_Recall,XGBoost_F1-Score,Random Forest_Accuracy,Random Forest_Precision,Random Forest_Recall,Random Forest_F1-Score,KNN_Accuracy,KNN_Precision,KNN_Recall,KNN_F1-Score,Logistic Regression_Accuracy,Logistic Regression_Precision,Logistic Regression_Recall,Logistic Regression_F1-Score,SVM_Accuracy,SVM_Precision,SVM_Recall,SVM_F1-Score
100,80-19,0.8462,0.8728,0.8462,0.8381,0.9538,0.9604,0.9538,0.953,0.9538,0.958,0.9538,0.9542,0.9846,0.986,0.9846,0.9846,0.9846,0.986,0.9846,0.9846,0.8769,0.8989,0.8769,0.8769,0.8,0.8639,0.8,0.8003
100,70-30,0.8351,0.8399,0.8351,0.8265,0.9485,0.9528,0.9485,0.9477,0.9691,0.971,0.9691,0.9692,0.9691,0.971,0.9691,0.9692,0.9897,0.9903,0.9897,0.9897,0.8763,0.8734,0.8763,0.8737,0.8866,0.9065,0.8866,0.8792
100,60-40,0.8915,0.9103,0.8915,0.8825,0.9845,0.9859,0.9845,0.9846,0.9767,0.9779,0.9767,0.9768,0.9767,0.9779,0.9767,0.9768,0.9922,0.9926,0.9922,0.9922,0.907,0.9146,0.907,0.9073,0.907,0.9238,0.907,0.9034
100,50-50,0.8758,0.9037,0.8758,0.8712,0.9627,0.9666,0.9627,0.9631,0.9752,0.9761,0.9752,0.9751,0.9814,0.9821,0.9814,0.9814,0.9441,0.9564,0.9441,0.9428,0.8634,0.877,0.8634,0.8642,0.8012,0.8594,0.8012,0.7811
75,80-19,0.7959,0.834,0.7959,0.7991,0.9796,0.9813,0.9796,0.9794,0.9592,0.964,0.9592,0.9584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9388,0.9421,0.9388,0.9378,0.8367,0.8752,0.8367,0.8245
75,70-30,0.7397,0.7926,0.7397,0.7285,0.9315,0.9423,0.9315,0.9336,0.9589,0.9677,0.9589,0.9601,0.9863,0.9874,0.9863,0.9864,0.9726,0.9768,0.9726,0.9724,0.7397,0.7665,0.7397,0.7398,0.8082,0.8553,0.8082,0.799
75,60-40,0.7835,0.8362,0.7835,0.7789,1.0,1.0,1.0,1.0,0.9897,0.9903,0.9897,0.9897,1.0,1.0,1.0,1.0,0.9175,0.9376,0.9175,0.9083,0.8144,0.8288,0.8144,0.8142,0.8454,0.8593,0.8454,0.8398
75,50-50,0.7603,0.7949,0.7603,0.7468,0.9421,0.9491,0.9421,0.941,0.9835,0.9843,0.9835,0.9835,0.9917,0.9921,0.9917,0.9918,0.9091,0.9304,0.9091,0.8966,0.7769,0.7787,0.7769,0.7717,0.7851,0.8034,0.7851,0.7759
50,80-19,0.5152,0.4324,0.5152,0.465,0.9697,0.9747,0.9697,0.9701,0.9697,0.9747,0.9697,0.9701,1.0,1.0,1.0,1.0,0.7879,0.7924,0.7879,0.7845,0.697,0.7154,0.697,0.7027,0.5758,0.649,0.5758,0.6074
50,70-30,0.8571,0.8656,0.8571,0.8517,0.8776,0.8705,0.8776,0.8662,0.9796,0.9819,0.9796,0.9797,0.9796,0.9819,0.9796,0.9797,0.8571,0.8524,0.8571,0.85,0.7959,0.8117,0.7959,0.7841,0.7551,0.6949,0.7551,0.7074
50,60-40,0.4769,0.4689,0.4769,0.4528,0.8923,0.8944,0.8923,0.8888,0.8923,0.8916,0.8923,0.8895,0.8769,0.9013,0.8769,0.874,0.7077,0.6312,0.7077,0.6441,0.6154,0.6966,0.6154,0.6092,0.4615,0.3863,0.4615,0.4126
50,50-50,0.642,0.7008,0.642,0.6336,0.8025,0.8436,0.8025,0.8026,0.8395,0.8615,0.8395,0.8336,0.8765,0.9118,0.8765,0.8745,0.5679,0.6728,0.5679,0.5595,0.642,0.673,0.642,0.6483,0.4815,0.5076,0.4815,0.4823
25,80-19,0.625,0.6562,0.625,0.6167,0.9375,0.9531,0.9375,0.9375,0.9375,0.9531,0.9375,0.9375,0.9375,0.9531,0.9375,0.9375,0.5625,0.4115,0.5625,0.469,0.6875,0.6188,0.6875,0.6488,0.5625,0.503,0.5625,0.5072
25,70-30,0.625,0.6458,0.625,0.6151,0.9583,0.9667,0.9583,0.9583,0.875,0.9219,0.875,0.8519,0.8333,0.8795,0.8333,0.8127,0.5,0.6141,0.5,0.4551,0.5833,0.5104,0.5833,0.5278,0.5833,0.5472,0.5833,0.5303
25,60-40,0.6562,0.6634,0.6562,0.6432,0.9688,0.974,0.9688,0.969,0.875,0.875,0.875,0.8672,0.875,0.901,0.875,0.8641,0.5,0.5094,0.5,0.4441,0.625,0.605,0.625,0.5959,0.5625,0.5425,0.5625,0.5334
25,50-50,0.6,0.6024,0.6,0.6,0.8,0.7903,0.8,0.7925,0.825,0.8379,0.825,0.8283,0.825,0.876,0.825,0.8244,0.5,0.6687,0.5,0.4842,0.65,0.6069,0.65,0.6104,0.5,0.4829,0.5,0.4558
