Data_Size(%),Model,Scaler,Accuracy,Std,Precision,Recall,F1-Score,Train_Size,Train_Classes,Test_Size
10,Decision Tree,MinMaxScaler,0.9504,0.0328,0.965,0.9504,0.9501,424,40,100
10,SVM,StandardScaler,0.908,0.0329,0.8881,0.908,0.8888,424,40,100
10,Naive Bayes,MinMaxScaler,0.9787,0.0217,0.9856,0.9787,0.9777,424,40,100
10,KNN,StandardScaler,0.9741,0.0188,0.9834,0.9741,0.9738,424,40,100
10,Logistic Regression,StandardScaler,0.974,0.0138,0.9806,0.974,0.973,424,40,100
10,Random Forest,MinMaxScaler,0.9858,0.0089,0.9893,0.9858,0.9846,424,40,100
20,Decision Tree,MinMaxScaler,0.9122,0.0139,0.9314,0.9122,0.9079,843,80,200
20,SVM,StandardScaler,0.9395,0.0079,0.9177,0.9395,0.9227,843,80,200
20,Naive Bayes,MinMaxScaler,0.981,0.0058,0.9851,0.981,0.9791,843,80,200
20,KNN,StandardScaler,0.9798,0.008,0.9848,0.9798,0.9781,843,80,200
20,Logistic Regression,StandardScaler,0.9846,0.0029,0.9867,0.9846,0.9828,843,80,200
20,Random Forest,MinMaxScaler,0.9881,0.0037,0.9891,0.9881,0.9864,843,80,200
30,Decision Tree,MinMaxScaler,0.922,0.0122,0.9333,0.922,0.9143,1243,120,300
30,SVM,StandardScaler,0.9252,0.0048,0.9074,0.9252,0.9076,1243,120,300
30,Naive Bayes,MinMaxScaler,0.967,0.0133,0.9822,0.967,0.9672,1243,120,300
30,KNN,StandardScaler,0.9646,0.016,0.9721,0.9646,0.9609,1243,120,300
30,Logistic Regression,StandardScaler,0.9815,0.0121,0.9864,0.9823,0.9809,1243,120,300
30,Random Forest,MinMaxScaler,0.9823,0.0113,0.9849,0.9823,0.9803,1243,120,300
40,Decision Tree,MinMaxScaler,0.9038,0.0147,0.9163,0.9038,0.8947,1643,160,400
40,SVM,StandardScaler,0.9318,0.0071,0.9154,0.9318,0.916,1643,160,400
40,Naive Bayes,MinMaxScaler,0.9665,0.0064,0.989,0.9665,0.9702,1643,160,400
40,KNN,StandardScaler,0.9726,0.0027,0.977,0.9726,0.9699,1643,160,400
40,Logistic Regression,StandardScaler,0.9872,0.0052,0.9913,0.9872,0.9864,1643,160,400
40,Random Forest,MinMaxScaler,0.9884,0.004,0.9908,0.9884,0.9872,1643,160,400
50,Decision Tree,MinMaxScaler,0.9051,0.0204,0.9181,0.9051,0.8962,2024,200,569
50,SVM,StandardScaler,0.9358,0.006,0.9291,0.9358,0.9244,2024,200,569
50,Naive Bayes,MinMaxScaler,0.9659,0.01,0.9866,0.9659,0.9687,2024,200,569
50,KNN,StandardScaler,0.9728,0.0099,0.9801,0.9728,0.9712,2024,200,569
50,Logistic Regression,StandardScaler,0.9847,0.0061,0.9889,0.9842,0.9831,2024,200,569
50,Random Forest,MinMaxScaler,0.9886,0.006,0.992,0.9886,0.9879,2024,200,569
60,Decision Tree,MinMaxScaler,0.9024,0.008,0.9158,0.9024,0.8931,2449,239,669
60,SVM,StandardScaler,0.9155,0.0021,0.9017,0.9155,0.8989,2449,239,669
60,Naive Bayes,MinMaxScaler,0.9657,0.0044,0.9854,0.9657,0.9683,2449,239,669
60,KNN,StandardScaler,0.9718,0.0065,0.9769,0.9718,0.9687,2449,239,669
60,Logistic Regression,StandardScaler,0.9837,0.0041,0.9872,0.9833,0.9817,2449,239,669
60,Random Forest,MinMaxScaler,0.9853,0.0015,0.9881,0.9853,0.9839,2449,239,669
70,Decision Tree,MinMaxScaler,0.8986,0.0144,0.9118,0.8986,0.8893,2832,280,786
70,SVM,StandardScaler,0.9693,0.0043,0.9684,0.9693,0.9638,2832,280,786
70,Naive Bayes,MinMaxScaler,0.97,0.0056,0.9903,0.97,0.9734,2832,280,786
70,KNN,StandardScaler,0.982,0.003,0.9868,0.982,0.9804,2832,280,786
70,Logistic Regression,StandardScaler,0.9883,0.0024,0.9922,0.9883,0.9877,2832,280,786
70,Random Forest,MinMaxScaler,0.9926,0.0013,0.9943,0.9926,0.9919,2832,280,786
80,Decision Tree,MinMaxScaler,0.8861,0.0112,0.8998,0.8861,0.8756,3258,318,857
80,SVM,StandardScaler,0.9177,0.0058,0.8993,0.9177,0.8998,3258,318,857
80,Naive Bayes,MinMaxScaler,0.9626,0.005,0.9842,0.9626,0.9654,3258,318,857
80,KNN,StandardScaler,0.9754,0.0027,0.9813,0.9754,0.9736,3258,318,857
80,Logistic Regression,StandardScaler,0.9856,0.0016,0.9897,0.9856,0.9845,3258,318,857
80,Random Forest,MinMaxScaler,0.9874,0.0023,0.9901,0.9874,0.9861,3258,318,857
90,Decision Tree,MinMaxScaler,0.893,0.0097,0.9048,0.893,0.883,3682,358,976
90,SVM,StandardScaler,0.8984,0.0076,0.8727,0.8984,0.8755,3682,358,976
90,Naive Bayes,MinMaxScaler,0.9636,0.0078,0.9834,0.9636,0.966,3682,358,976
90,KNN,StandardScaler,0.9747,0.0072,0.976,0.9747,0.9711,3682,358,976
90,Logistic Regression,StandardScaler,0.9832,0.0049,0.9863,0.9837,0.9819,3682,358,976
90,Random Forest,MinMaxScaler,0.9878,0.0031,0.9889,0.9878,0.9861,3682,358,976
